"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Корзина","Расчёт итоговой суммы корзины","0","0","2","0","0"
"","Корзина","Поиск товаров, добавление в корзину и проверка итоговой суммы","0","0","1","0","0"
"","Поиск товаров и работа с корзиной","Поиск товаров, добавление в корзину и проверка итоговой суммы","0","0","1","0","0"
"","Расчёт итоговой суммы корзины","Расчёт итоговой суммы корзины","0","0","1","0","0"
"","Сортировка товаров","Сортировка товаров по имени и цене","0","0","2","0","0"
