"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 23 16:49:16 UTC 2026","Thu Apr 23 16:49:29 UTC 2026","13148","UI-тесты","test_cart","TestCart","","","Должна корректно формироваться корзина и рассчитываться итоговая сумма после поиска и изменения количества товаров","Тест на добавление в корзину и проверку итоговой суммы"
"passed","Thu Apr 23 16:49:15 UTC 2026","Thu Apr 23 16:49:28 UTC 2026","12922","UI-тесты","test_cart_total_with_search","","","","Должна корректно формироваться корзина и рассчитываться итоговая сумма после поиска и изменения количества товаров","Тест на добавление в корзину и проверку итоговой суммы"
"passed","Thu Apr 23 16:48:45 UTC 2026","Thu Apr 23 16:49:14 UTC 2026","28916","UI-тесты","test_cart_total_with_removals","","","","Должна корректно пересчитываться итоговая сумма после удаления товаров из корзины","Тест на расчёт суммы корзины после удаления товаров"
"passed","Thu Apr 23 16:49:29 UTC 2026","Thu Apr 23 16:49:36 UTC 2026","7382","UI-тесты","test_main","TestMain","","","test_sorting_by_name","Тест на сортировку товаров по цене и стоимости"
"passed","Thu Apr 23 16:48:45 UTC 2026","Thu Apr 23 16:49:15 UTC 2026","29961","UI-тесты","test_cart","TestCart","","","test_cart_total_with_removals","Тест на расчёт суммы корзины после удаления товаров"
"passed","Thu Apr 23 16:49:30 UTC 2026","Thu Apr 23 16:49:37 UTC 2026","7237","UI-тесты","test_sorting_name_price","","","","Должна корректно работать сортировка товаров по имени и цене в обоих направлениях","Тест на сортировку товаров по цене и стоимости"
